SIMULATION CONTROL,,,
Command,Description,Usage,Argument types
HELP,"Show help on a command, show pdf or write list of commands to file",HELP [command]/pdf/ >filename,['txt']
DOC,"Show extended help window for given command, or the main documentation page if no command is given.",DOC [command],['txt']
MAKEDOC,Make markdown templates for all stack functions that don't have a doc page yet.,MAKEDOC,[]
IC,Initial condition: (re)start simulation and open scenario file,IC [IC/filename],['string']
OP,Start/Run simulation or continue after pause,OP,[]
HOLD,Pause(hold) simulation,HOLD,[]
QUIT,Quit program/Stop simulation,QUIT,[]
RESET,Reset simulation,RESET,[]
DT,Set simulation time step,DT dt,['float']
DTMULT,Sel multiplication factor for fast-time simulation,DTMULT multiplier,['float']
FF,Fast forward the simulation,FF [timeinsec],['time']
FIXDT,Fix the time step,FIXDT ON/OFF [tend],"['onoff', 'time']"
TIME,Set simulated clock time,TIME RUN(default) / HH:MM:SS.hh / REAL / UTC ,['txt']
PCALL,Call commands in another scenario file,PCALL filename [REL/ABS],"['txt', 'txt']"
SCHEDULE,Schedule a stack command at a given time,"SCHEDULE time, COMMAND+ARGS","['time', 'string']"
DELAY,Add a delayed command to stack,"DELAY time offset, COMMAND+ARGS","['time', 'string']"
ADDNODES,Add a simulation instance/node,ADDNODES number,['int']
BATCH,Start a scenario file as batch simulation,BATCH filename,['string']
SAVEIC,Save current situation as IC,SAVEIC filename,['string']
SCEN,Give current situation a scenario name,SCEN scenname,['string']
SEED,"Set seed for all functions using a randomizer (e.g.mcre,noise)",SEED value,['int']
BENCHMARK,Run benchmark,"BENCHMARK [scenfile,time]","['txt', 'time']"
SYN,Macro for generating synthetic (geometric) traffic scenarios," SYN: Possible subcommands: HELP, SIMPLE, SIMPLED, DIFG, SUPER,MATRIX, FLOOR, TAKEOVER, WALL, ROW, COLUMN, DISP","['txt', '...']"
PLUGINS,"List all plugins, load a plugin, or remove a loaded plugin.",PLUGINS LIST or LOAD plugin or REMOVE plugin,"['txt', 'txt']"
DATAFEED,Select an ADS-B data source for traffic,DATAFEED [ON/OFF],['onoff']
,,,
DISPLAY CONTROL,,,
Command,Description,Usage,Argument types
PAN,"Pan screen (move view) to a waypoint, direction or aircraft",PAN latlon/acid/airport/waypoint/LEFT/RIGHT/ABOVE/DOWN,['pandir/latlon']
ZOOM,"Zoom display in/out, you can also use +++ or -----",ZOOM IN/OUT or factor,['float/txt']
++++,Zoom in 4 times,,
-----,Zoom out 4 times,,
SYMBOL,Toggle aircraft symbol,SYMBOL,[]
TRAIL,Toggle aircraft trails on/off,"TRAIL ON/OFF, [dt] OR TRAIL acid color","['acid/bool', 'float/txt']"
ECHO,Show a text in command window for user to read,ECHO txt,['string']
INSEDIT,Insert text op edit line in command window,INSEDIT txt,['string']
ND,Show navigation display with CDTI,ND acid,['txt']
SSD,Show state-space diagram (=conflict prevention display/predictive ASAS),"SSD ALL/CONFLICTS/OFF or SSD acid0, acid1, ...","['txt', '...']"
FILTERALT,Display aircraft on only a selected range of altitudes,"FILTERALT ON/OFF,[bottom,top]","['bool', 'alt', 'alt']"
LINE,Draw a line on the radar screen,"LINE name,lat,lon,lat,lon","['txt', 'latlon', 'latlon']"
PLOT,Create a graph of variables x versus y.,"PLOT x, y [,dt,color,figure]","['txt', 'txt', 'txt', 'txt', 'txt']"
SWRAD,Switch on/off elements and background of map/radar view,SWRAD GEO/GRID/APT/VOR/WPT/LABEL/ADSBCOVERAGE/TRAIL [dt]/[value],"['txt', 'float']"
,,,
TRAFFIC COMMANDS,,,
Command,Description,Usage,Argument types
CRE,Create an aircraft,"CRE acid,type,lat,lon,hdg,alt,spd","['txt', 'txt', 'latlon', 'hdg', 'alt', 'spd']"
DEL,"Delete command (aircraft, wind, area)",DEL acid/ALL/WIND/shape,['acid/txt']
HDG,Heading command (autopilot),"HDG acid,hdg (deg,True)","['acid', 'float']"
SPD,Speed command (autopilot),"SPD acid,spd (CAS-kts/Mach)","['acid', 'spd']"
ALT,Altitude command (autopilot),"ALT acid, alt, [vspd]","['acid', 'alt', 'vspd']"
VS,Vertical speed command (autopilot),"VS acid,vspd (ft/min)","['acid', 'vspd']"
LNAV,LNAV (lateral FMS mode) switch for autopilot,"LNAV acid,[ON/OFF]","['acid', 'onoff']"
VNAV,"Switch on/off VNAV mode, the vertical FMS mode (autopilot)","VNAV acid,[ON/OFF]","['acid', 'onoff']"
MCRE,Multiple random create of n aircraft in current view,"MCRE n, [type/*, alt/*, spd/*, dest/*]","['int', 'txt', 'alt', 'spd', 'txt']"
MOVE,Move an aircraft to a new position,"MOVE acid,lat,lon,[alt,hdg,spd,vspd]","['acid', 'latlon', 'alt', 'hdg', 'spd', 'vspd']"
POS,"Get info on aircraft, airport or waypoint",POS acid/waypoint,['acid/wpt']
NOISE,Turbulence/noise switch,NOISE [ON/OFF],['onoff']
WIND,Define a wind vector as part of the 2D or 3D wind field,"WIND lat,lon,alt/*,dir,spd,[alt,dir,spd,alt,...]","['latlon', 'alt', 'float', 'float', '...', '...', '...']"
NOM,Set nominal acceleration for this aircraft (perf model),NOM acid,['acid']
ENG,Specify a different engine type,"ENG acid,[engine_id]","['acid', 'txt']"
,,,
,,,
,,,
,,,
FLIGHT PLAN/FMS,,,
Command,Description,Usage,Argument types
ADDWPT,Add a waypoint to route of aircraft (FMS),"ADDWPT acid, (wpname/lat,lon/FLYBY/FLYOVER/ TAKEOFF,APT/RWY),[alt,spd,afterwp]","['acid', 'wpt', 'alt/txt', 'spd', 'wpinroute', 'wpinroute']"
AFTER,"After waypoint, add a waypoint to route of aircraft (FMS)","acid AFTER afterwp ADDWPT (wpname/lat,lon),[alt,spd]","['acid', 'wpinroute', 'txt', 'wpt', 'alt', 'spd']"
BEFORE,"Before waypoint, add a waypoint to route of aircraft (FMS)","acid BEFORE beforewp ADDWPT (wpname/lat,lon),[alt,spd]","['acid', 'wpinroute', 'txt', 'wpt', 'alt', 'spd']"
AT,"Edit, delete or show spd/alt constraints at a waypoint in the route",acid AT wpname [DEL] SPD/ALT [spd/alt],"['acid', 'wpinroute', 'txt', 'txt']"
DIRECT,Go direct to specified waypoint in route (FMS),DIRECT acid wpname,"['acid', 'txt']"
AIRWAY,Get info on airway or connections of a waypoint,AIRWAY wp/airway,['txt']
DEFWPT,Define a waypoint only for this scenario/run,"DEFWPT wpname,lat,lon,[FIX/VOR/DME/NDB]","['txt', 'latlon', 'txt', 'txt', 'txt']"
DELRTE,Delete for this a/c the complete route/dest/orig (FMS),DELRTE acid,['acid']
DELWPT,Delete a waypoint from a route (FMS),"DELWPT acid,wpname","['acid', 'wpinroute']"
DEST,"Set destination of aircraft, aircraft wil fly to this airport","DEST acid, latlon/airport","['acid', 'wpt/latlon']"
ORIG,Set origin airport of aircraft,"ORIG acid, latlon/airport","['acid', 'wpt/latlon']"
DUMPRTE,Write route to output/routelog.txt,DUMPRTE acid,['acid']
LISTRTE,Show list of route in window per page of 5 waypoints,"LISTRTE acid, [pagenr]","['acid', 'int']"
POS,"Get info on aircraft, airport or waypoint",POS acid/waypoint,['acid/wpt']
,,,
ASAS/CD&R,,,
Command,Description,Usage,Argument types
ASAS,Airborne Separation Assurance System switch,ASAS ON/OFF/VMIN/VMAX,['onoff']
ASASV,Airborne Separation Assurance System Speed,ASASV MAX/MIN SPD (TAS in kts),"['txt', 'float']"
DTLOOK,Set lookahead time in seconds for conflict detection,DTLOOK [time],['float']
DTNOLOOK,Set interval for conflict detection,DTNOLOOK [time],['float']
CDMETHOD,Set conflict detection method,CDMETHOD [method],['txt']
CRECONFS,Create an aircraft that is in conflict with 'targetid',"CRECONFS id, type, targetid, dpsi, cpa, tlos_hor, dH, tlos_ver, spd","['txt', 'txt', 'acid', 'hdg', 'float', 'time', 'alt', 'time', 'spd']"
PRIORULES,Define priority rules (right of way) for conflict resolution,PRIORULES [ON/OFF PRIOCODE],"['onoff', ' txt']"
NORESO,Switch off conflict resolution for this aircraft,NORESO [acid],['string']
RESO,Set resolution method,RESO [method],['txt']
RESOOFF,Switch for conflict resolution module,RESOOFF [acid],['string']
RFACH,Set resolution factor horizontal (to add a margin),RFACH [factor],['float']
RFACV,Set resolution factor vertical (to add a margin),RFACV [factor],['float']
RMETHH,Set resolution method to be used horizontally,RMETHH [method],['txt']
RMETHV,Set resolution method to be used vertically,RMETHV [method],['txt']
RSZONEDH,Set half of vertical dimension of resolution zone in ft,RSZONEDH [height],['float']
RSZONER,Set horizontal radius of resolution zone in nm,RSZONER [radius],['float']
ZONEDH,Set half of the vertical protected zone dimensions in ft,ZONEDH [height],['float']
ZONER,Set the radius of the horizontal protected zone dimensions in nm,ZONER [radius],['float']
,,,
AREA DEFINITION,,,
Command,Description,Usage,Argument types
AREA,"(not supported anymore, use BOX, CIRCLE, POLY, etc.)",,
CIRCLE,Define a circle-shaped area,"CIRCLE name,lat,lon,radius,[top,bottom]","['txt', 'latlon', 'float', 'alt', 'alt']"
BOX,Define a box-shaped area,"BOX name,lat,lon,lat,lon,[top,bottom]","['txt', 'latlon', 'latlon', 'alt', 'alt']"
POLY,Define a polygon-shaped area,"POLY name,lat,lon,lat,lon, ...","['txt', 'latlon', '...']"
POLYALT,Define a polygon-shaped area in 3D: between two altitudes,"POLYALT name,top,bottom,lat,lon,lat,lon, ...","['txt', 'alt', 'alt', 'latlon', '...']"
,,,
DATA LOGGING,,,
Command,Description,Usage,Argument types
INSTLOG,INSTLOG data logging on,"INSTLOG ON/OFF,[dt] or LISTVARS or SELECTVARS var1,...,varn","['txt', 'float/txt', '...']"
